Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
HUMBLE.,Kendrick Lamar,HUMBLE.,3/31/2017,USUM71703085,2226869580.0,80.0,"311,766",466,71.4,
Forget Me,Lewis Capaldi,Forget Me,9/9/2022,DEUM72204717,343556188.0,69.0,"53,783",465,71.4,
Sabka Malik Ek,Dada Black Sheep,Sabka Malik Ek,8/12/2022,FR9W12228852,2754.0,,22,467,71.3,
Scared To Start,Michael Marcagi,Scared To Start,1/12/2024,USWB12400001,284119669.0,84.0,"23,417",469,71.2,
Super Freaky Girl,Nicki Minaj,Super Freaky Girl,8/12/2022,USUM72215262,549382975.0,64.0,"88,241",468,71.2,
Miracle (with Ellie Goulding),Calvin Harris,Miracle (with Ellie Goulding),3/10/2023,GBARL2300300,425999315.0,74.0,"91,229",470,71.1,
Somebody That I Used To Know,Gotye,Making Mirrors (Deluxe),1/1/2011,AUZS21100040,1752826514.0,74.0,"352,833",471,71.0,
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind,11/5/2015,USAT21502909,1859886400.0,78.0,"161,156",474,70.6,
Oh No,Kreepa,Cold As Ice,12/13/2019,USUYG1287925,40284121.0,41.0,"14,548",473,70.6,
Pop Out (feat. Lil Tjay),Polo G,Pop Out (feat. Lil TJay),2/7/2019,USQX91900309,858059276.0,70.0,"181,654",472,70.6,
7 Years,Lukas Graham,Lukas Graham (Blue Album),6/16/2015,USWB11506516,1916203330.0,78.0,"218,955",475,70.5,
Something in the Orange,Zach Bryan,Something in the Orange,4/22/2022,USWB12201213,891578597.0,82.0,"134,151",478,70.4,
AMARGURA,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿,2/24/2023,USUM72222552,629102459.0,81.0,"31,206",477,70.4,
"Happy - From ""Despicable Me 2""",Pharrell Williams,538 Hitzone Best Of 2013,1/1/2013,USQ4E1300686,1379786786.0,75.0,"204,118",476,70.4,
Bailando Bachata,Chayanne,Bailando Bachata - Single,5/25/2023,USSD12201328,136724343.0,72.0,"15,391",479,70.2,
Treat You Better,Shawn Mendes,Treat You Better,6/3/2016,USUM71604711,2164074552.0,80.0,"183,26",481,70.2,
Feliz Cumpleaï¿½ï¿½os Fe,Feid,Feliz Cumpleaï¿½ï¿½os Fe,8/19/2022,USUM72215366,944833760.0,78.0,"84,3",483,70.1,
Let Her Go,Passenger,Let Her Go,7/27/2012,GBMQN1200012,2252713547.0,69.0,"84,884",484,70.1,
Fall Back,Lithe,Fall Back / Selfish Game - Single,3/21/2024,AUMEV2435468,78227549.0,81.0,"10,811",485,70.1,
Stressed Out,Twenty One Pilots,Stressed Out,4/28/2015,USAT21500597,2313532702.0,79.0,"333,612",482,70.1,
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean (International Remixes),1/1/2019,USAT22100017,1251675613.0,67.0,"233,472",486,70.0,
All of Me,John Legend,Love In The Future (South Africa Tour Edition),1/1/2012,USSM11303954,2382407025.0,80.0,"259,202",487,69.8,
2055,Sleepy Hallow,2055,4/14/2021,USRC12100442,811700245.0,77.0,"195,603",488,69.7,
Bandit,Don Toliver,Bandit - Single,2/1/2024,USAT22400561,152597421.0,12.0,"19,834",490,69.6,
Redbone,Childish Gambino,Redbone,11/17/2016,USYAH1600107,1615152539.0,76.0,"377,159",489,69.6,
Yimmy Yimmy,Tayc,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,3/8/2024,USA2P2410436,28543791.0,74.0,"1,305",491,69.5,
"This Is The Thanks I Get?! - From ""Wish""",Chris Pine,"This Is The Thanks I Get?! (From ""Wish"")",10/25/2023,USWD12328244,15090071.0,,"1,405",492,69.4,
We Don't Talk About Bruno,Carolina Gaitï¿½ï¿½n - La G,Encanto (Original Motion Picture Soundtrack),11/19/2021,USWD12112915,502781351.0,68.0,"57,858",493,69.4,
You Proof,Morgan Wallen,You Proof,5/13/2022,USUG12203266,644437397.0,79.0,"64,367",494,69.3,
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,Mercury - Act 1,9/3/2021,USUM72119916,1502382072.0,75.0,"240,419",495,69.2,
Break My Heart,Dua Lipa,Break My Heart,3/25/2020,GBAHT1901303,1198689895.0,71.0,"130,486",496,69.2,
Shut Down,BLACKPINK,BORN PINK,9/16/2022,KRA402200020,654818451.0,67.0,"39,852",497,69.0,
Regalo De Dios,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,PRESENTE,11/17/2023,QZ7HP2300092,205050873.0,81.0,"6,236",498,68.9,
Never Let Go,Jung Kook,Never Let Go - Single,6/7/2024,USA2P2431076,26891849.0,81.0,722,499,68.9,
Toyour ï¿½ï¿½ï¿,Rasha Nahas,Amrat ï¿½ï¿½ï¿½ï,1/20/2023,QMEU32211578,11360.0,6.0,26,500,68.9,
Chill Vibes,Tollan Kim,Chill Vibes,3/31/2022,SGB502214297,1212312.0,32.0,560,501,68.8,
MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),10/11/2018,USWB11802236,1318254846.0,71.0,"159,832",503,68.7,
Toosie Slide,Drake,Toosie Slide,4/3/2020,USUG12001281,1059262917.0,64.0,"200,623",505,68.7,
MIENTRAS ME CURO DEL CORA,KAROL G,MAï¿½ï¿½ANA SERï¿½ï¿,2/24/2023,USUM72300862,426341106.0,76.0,"29,511",506,68.7,
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT,4/18/2024,USUG12401031,210385853.0,80.0,"5,179",504,68.7,
Ballin' (with Roddy Ricch),Mustard,Perfect Ten,6/28/2019,USUM71911808,907346612.0,69.0,"200,091",502,68.7,
La llama que Baila,El Reino Infantil,La llama que Baila,6/10/2022,ARF062200275,665611.0,22.0,145,508,68.5,
Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),5/16/2024,USAT22402805,33661899.0,79.0,"3,565",507,68.5,
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),5/6/2022,USRC12201441,553783547.0,68.0,"83,45",509,68.2,
El Merengue,Marshmello,El Merengue - Single,3/3/2023,USSD12300040,528420867.0,75.0,"59,791",510,68.2,
Made For Me,Muni Long,Made For Me,9/15/2023,USUG12307428,142945230.0,76.0,"13,253",513,68.1,
Let's Go 4,Mc IG,Let's Go 4,9/11/2023,BXG6R2300792,269785626.0,,"27,317",511,68.1,
TELEKINESIS,Travis Scott,UTOPIA,7/28/2023,USSM12305019,313693195.0,75.0,"92,838",512,68.1,
Daqui pra Sempre,Manu,Daqui pra Sempre,9/22/2023,QZTPX2351515,181784966.0,76.0,"12,794",514,68.0,
Martin & Gina,Polo G,THE GOAT,5/15/2020,USQX92002595,885756212.0,76.0,"212,406",516,68.0,
"thank u, next",Ariana Grande,"thank u, next",11/3/2018,USUM71819361,1878196824.0,73.0,"134,913",515,68.0,
One Dance,Drake,One Dance (feat. Wizkid & Kyla) - Single,4/4/2016,USCM51600028,3192204066.0,82.0,"379,853",518,67.9,
ily (i love you baby) (feat. Emilee),Surf Mesa,ily (feat. Emilee),11/26/2019,QZJRC1945204,912461674.0,70.0,"160,875",517,67.9,
Hope,XXXTENTACION,?,3/16/2018,USUG11800447,1442703001.0,78.0,"201,082",519,67.8,
TRUSTFALL,P!nk,TRUSTFALL,1/27/2023,USRC12204190,255898884.0,65.0,"35,61",520,67.6,
Intentions (feat. Quavo),Justin Bieber,Intentions,2/7/2020,USUM72001302,1177960398.0,69.0,"124,387",521,67.5,
PRC,Peso Pluma,PRC,1/24/2023,QM4TW2315684,668103212.0,69.0,"52,04",522,67.4,
Lemonade,Internet Money,Lemonade,8/14/2020,QZJ842000368,1320495311.0,12.0,"280,937",523,67.3,
WITHOUT YOU,The Kid LAROI,F*CK LOVE (SAVAGE),11/6/2020,USSM12006586,927908363.0,69.0,"192,182",524,67.0,
Sensational (feat. Davido & Lojay),Chris Brown,Sensational (feat. Davido & Lojay) - Single,10/20/2023,USRC12302777,70652012.0,,"20,841",527,66.9,
LET GO,Central Cee,LET GO,12/15/2022,US39N2203950,415699405.0,70.0,"131,562",526,66.9,
Blister In The Sun,Violent Femmes,Violent Femmes (Deluxe Edition),12/1/2023,USC4R2338087,250321751.0,,34,525,66.9,
Savage (feat. Beyoncï¿½ï¿½) - R,Megan Thee Stallion,Savage (feat. Beyoncï¿½ï¿½) [Re,4/29/2020,QMCE32000145,428986855.0,57.0,"49,403",528,66.8,
No Idea,Don Toliver,No Idea,5/29/2019,USAT21903300,922761340.0,74.0,"176,497",529,66.8,
Love Yourself,Justin Bieber,Love Yourself,11/9/2015,USUM71516761,2423583406.0,78.0,"221,55",530,66.8,
Tï¿½ï¿½ ,Fuerza Regida,Dolido Pero No Arrepentido - EP,2/9/2024,QZ9QQ2400125,188154454.0,82.0,"6,068",531,66.7,
Cari Mama Muda (Senorita Joven) - Original Mix,Carella,Cari Mama Muda (Senorita Joven),2/13/2021,ITH642025474,149072.0,7.0,53,532,66.6,
Need A Favor,Jelly Roll,NEED A FAVOR,12/9/2022,QMRSZ2203220,166866092.0,73.0,"26,335",533,66.5,
Heeriye (feat. Arijit Singh),Jasleen Royal,Heeriye (feat. Arijit Singh),7/25/2023,INW262317690,296399608.0,74.0,"19,549",534,66.4,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,Pop Party,1/1/2016,USSM11600251,1429277695.0,71.0,"126,593",535,66.4,
Anabella,Khaid,Anabella,7/14/2023,US23A1566792,14645123.0,52.0,"2,424",536,66.3,
Bam Bam (feat. Ed Sheeran),Camila Cabello,#NAME?,10/29/2021,USSM12200047,907821800.0,68.0,"106,835",539,66.2,
The Motto,Tiï¿½ï¿,The Motto,11/4/2021,CYA112001070,818199643.0,70.0,"147,373",540,66.2,
Single Soon,Selena Gomez,Single Soon,8/25/2023,USUM72310919,205555865.0,70.0,"18,831",538,66.2,
Falling Down - Bonus Track,Lil Peep,Falling Down,9/19/2018,USQX91802294,1156060152.0,76.0,"189,32",541,66.1,
Sin Pijama,Becky G,Sin Pijama,4/20/2018,USSD11800157,785389574.0,61.0,"70,607",542,65.9,
Wasted On You,Morgan Wallen,Dangerous: The Double Album,1/8/2021,USUG12004194,717226454.0,79.0,"73,851",545,65.7,
BREAK MY SOUL,Beyoncï¿,BREAK MY SOUL,6/21/2022,USSM12206234,443564590.0,64.0,"80,121",544,65.7,
Nimbu Kharbuja Bhail 2,Khesari Lal Yadav,Nimbu Kharbuja Bhail 2,12/11/2023,ING642308945,9396018.0,,139,546,65.6,
Murder In My Mind,Kordhell,Murder In My Mind,1/21/2022,QM4TW2218315,668285368.0,74.0,"120,095",547,65.6,
Unstoppable,Sia,Unstoppable,1/21/2016,USRC11502934,1285237951.0,76.0,"166,761",548,65.5,
traitor,Olivia Rodrigo,SOUR,5/21/2021,USUG12101243,1564979439.0,80.0,"150,597",550,65.5,
goosebumps,Travis Scott,Birds In The Trap Sing McKnight,9/16/2016,USSM11607555,2396737761.0,82.0,"381,756",549,65.5,
Quï¿½ï¿½ Mï¿½ï¿,J Balvin,Quï¿½ï¿½ Mï¿½ï¿,5/28/2021,QZM5U2100064,811810737.0,67.0,"117,049",552,65.3,
Hrs and Hrs,Muni Long,Public Displays of Affection,11/19/2021,QZAKB2136210,241632869.0,67.0,"58,384",551,65.3,
Boy With Luv (feat. Halsey),BTS,MAP OF THE SOUL : PERSONA,4/12/2019,QM6MZ1917908,1165842896.0,70.0,"62,333",553,65.0,
Broccoli,ati2x06,Broccoli - Single,1/17/2024,ES64E2455101,846435891.0,,1,626,64.9,
Angel Baby,Troye Sivan,Angel Baby,9/9/2021,AUUM72100371,533416336.0,68.0,"51,383",554,64.9,
Way 2 Sexy (with Future & Young Thug),Drake,Certified Lover Boy,9/3/2021,USUG12104403,559759920.0,67.0,"159,492",555,64.7,
Bhauji Lenge Lenge,Khesari Lal Yadav,Bhauji Lenge Lenge,4/5/2024,ING642402634,1319711.0,,27,556,64.6,
SORRY 4 THAT MUCH,Feid,SORRY 4 THAT MUCH,6/7/2024,USUM72406641,8757910.0,71.0,"1,184",557,64.5,
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,Teatro d'ira - Vol. I,3/19/2021,ITB002100115,1053626902.0,77.0,"240,281",558,64.4,
PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,4/29/2022,USSM12203787,395167576.0,71.0,"135,307",560,64.3,
3D (feat. Jack Harlow),Jung Kook,3D (feat. Jack Harlow),9/29/2023,USA2P2346470,573249007.0,74.0,"27,154",559,64.3,
XO Tour Llif3,Lil Uzi Vert,XO TOUR Llif3,3/24/2017,USAT21700684,2123458039.0,24.0,"59,071",562,64.2,
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),10/28/2022,QMJMT2204481,378282960.0,65.0,"66,018",563,64.2,
Desire (with Sam Smith),Calvin Harris,Desire (with Sam Smith),7/28/2023,GBARL2300798,226519256.0,75.0,"43,558",561,64.2,
Cute,Aurel Surya Lie,Cute,8/29/2022,SGB502236207,142732.0,21.0,90,564,64.1,
Cold Heart - PNAU Remix,Elton John,Diamonds (Deluxe),11/10/2017,GBUM72104705,2011121774.0,77.0,"314,601",565,64.0,
Con Altura,ROSALï¿½,Con Altura,3/28/2019,USSM11900950,770653954.0,66.0,"81,459",566,63.9,
ýýýýýý (HEYA),IVE,IVE SWITCH,4/29/2024,QM4TX2478220,32189908.0,60.0,"1,646",568,63.8,
LA CANCIï¿½,J Balvin,OASIS,6/28/2019,USUM71911618,1706325903.0,79.0,"149,957",570,63.8,
In My Mind,Dynoro,In My Mind,11/15/2017,QZ22B1859046,1432473324.0,74.0,"235,239",567,63.8,
Chandelier,Sia,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,1/1/2014,USRC11400498,1729264620.0,75.0,"171,065",569,63.8,
Eastside (with Halsey & Khalid),benny blanco,Eastside (with Halsey & Khalid),7/12/2018,USUM71809132,1736530084.0,73.0,"174,867",571,63.7,
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,1/17/2020,USUM72000788,1456635235.0,78.0,"241,715",572,63.7,
All About That Bass,Meghan Trainor,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,1/1/2014,USSM11401317,815661095.0,70.0,"92,401",573,63.6,
"Besharam Rang (From ""Pathaan"")",Vishal-Shekhar,"Besharam Rang (From ""Pathaan"")",12/12/2022,INY092200126,218291402.0,66.0,"10,974",574,63.5,
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),10/17/2023,QZVEM2364808,64754747.0,,"15,452",575,63.4,
Cheques,Shubh,Still Rollin,5/19/2023,QM6P42332212,276505971.0,73.0,"18,698",576,63.4,
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],1/15/2021,GBCEN2000163,979440925.0,72.0,"257,132",577,63.3,
VAGABUNDO,Sebastian Yatra,VAGABUNDO,5/12/2023,USUM72305982,337650898.0,75.0,"44,292",578,63.3,
Cheap Thrills,Sia,Cheap Thrills,12/17/2015,USRC11502935,1779046979.0,70.0,"161,84",580,63.2,
Yummy,Justin Bieber,Yummy,1/3/2020,USUM71923046,792379282.0,62.0,"96,177",579,63.2,
On My Mama,Victoria Monï¿½,On My Mama,6/16/2023,USRC12204025,119798692.0,65.0,"16,874",582,63.1,
Wishing Well,Juice WRLD,Legends Never Die,7/10/2020,USUG12001905,901486450.0,71.0,"157,381",583,63.1,
Too Good At Goodbyes,Sam Smith,Too Good At Goodbyes,9/8/2017,GBUM71704089,2061017397.0,78.0,"157,801",584,62.9,
SPECIALZ,King Gnu,SPECIALZ,9/1/2023,JPU902303303,178413226.0,78.0,"22,972",585,62.8,
Ta Ta Ta,Bayanni,Bayanni,8/24/2022,NGA3B2219002,85207310.0,62.0,"31,737",586,62.8,
Un Finde | CROSSOVER #2,Big One,Un Finde | CROSSOVER #2,4/4/2023,ARP7V2300002,361219290.0,72.0,"34,991",588,62.6,
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate,9/23/2016,USUM71702833,2043626431.0,80.0,"185,796",589,62.6,
Gulabi Sadi,Sanju Rathod,Gulabi Sadi,2/6/2024,FR2X42446102,34996527.0,69.0,983,587,62.6,
Breaking Me,Topic,Breaking Me (feat. A7S),12/19/2019,DEUM71906724,1128612961.0,69.0,"184,002",590,62.5,
Belong Together,Mark Ambor,Belong Together - Single,2/16/2024,QM24S2400638,233969547.0,87.0,"19,001",592,62.4,
Shake It Off,Taylor Swift,1989 (Deluxe),1/1/2014,USCJY1431349,1409692678.0,74.0,"162,649",593,62.3,
LOVELY BASTARDS,ZWE1HVNDXR,LOVELY BASTARDS,8/25/2023,QZPLS2390181,224798632.0,,"37,906",594,62.2,
La Curiosidad,Jay Wheeler,Platonicos,6/12/2020,USUYG1313832,1099019265.0,78.0,"107,383",595,62.1,
EL MAKINON,KAROL G,EL MAKINON,3/24/2021,USUM72023904,574357002.0,69.0,"69,491",596,62.0,
In The Stars,Benson Boone,In The Stars,4/29/2022,USWB12201574,725214939.0,74.0,"107,667",597,61.9,
Shirt,SZA,Shirt,10/28/2022,USRC12203632,469322271.0,73.0,"68,997",598,61.9,
Tiryakinim,Bayhan,Tiryakinim,4/18/2024,QZK6N2415960,34304595.0,71.0,"1,805",599,61.8,
We Don't Trust You,Future,WE DON'T TRUST YOU,3/22/2024,USSM12402040,68542565.0,,"13,345",600,61.7,
Tï¿½ï¿,DENNIS,Tï¿½ï¿,5/4/2023,BRSME2300692,333339751.0,69.0,"41,237",601,61.7,
Cï¿½ï¿½ï¿½t ï¿½ï¿½ï¿½ï¿,Tï¿½ï¿½ng Duy ,Cï¿½ï¿½ï¿½t ï¿½ï¿½ï¿½ï¿,9/28/2023,QZYHM2362070,6921900.0,,"1,554",602,61.6,
Call Out My Name,The Weeknd,"My Dear Melancholy,",3/29/2018,USUG11800560,1780889877.0,79.0,"229,909",603,61.6,
Lose Control,MEDUZA,Get To Know,9/27/2019,DEUM71905792,932911098.0,66.0,"180,309",604,61.6,
THE GREATEST,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401992,74533081.0,84.0,"4,192",606,61.5,
X - Remix,Nicky Jam,X (Remix),6/19/2018,USSD11800257,341040837.0,60.0,"36,912",605,61.5,
223's (feat. 9lokknine),YNW Melly,223's (feat. 9lokknine),8/9/2019,QMCE31902418,484542375.0,64.0,"97,431",609,61.4,
Saami Saami,Mounika Yadav,"Saami Saami (From ""Pushpa - The Rise Part - 01"") - Single",10/28/2021,INA092117769,43286859.0,49.0,"3,192",608,61.4,
ýýchame La Culpa,Luis Fonsi,ýýchame La Culpa,11/17/2017,USUM71712163,935042457.0,68.0,"92,728",607,61.4,
Mask Off,Future,EPIC AF,1/1/2017,USSM11701444,1596770801.0,77.0,"281,838",614,61.3,
BON,Number_i,No.O -ring-,5/27/2024,JPY932300068,7269751.0,70.0,133,613,61.3,
Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),5/17/2019,DEUM71905868,1920784716.0,77.0,"211,573",611,61.3,
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),9/16/2021,US23A1540104,428189728.0,67.0,"95,507",610,61.3,
Young Metro,Future,WE DON'T TRUST YOU,3/22/2024,USSM12402034,69705399.0,,"13,782",612,61.3,
You Raise Me Up,Josh Groban,Closer (20th Anniversary Deluxe Edition),11/17/2023,USRE12300484,124486631.0,,18,618,61.2,
Queencard,(G)I-DLE,I feel,5/15/2023,KRA392300001,289304213.0,72.0,"25,925",616,61.2,
"Maroon Color Sadiya (From ""Fasal"")",Kalpana,"Maroon Color Sadiya (From ""Fasal"") - Single",3/12/2024,INW132418021,10371919.0,,142,617,61.2,
RAPSTAR,Polo G,RAPSTAR,4/9/2021,USSM12101640,923823292.0,72.0,"218,155",615,61.2,
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven (sim0ne & Melo Nada Remix),3/17/2023,GBUM72304301,513353284.0,80.0,"73,253",620,61.1,
Maan Meri Jaan,King,Champagne Talk,10/12/2022,INW272200083,467454503.0,71.0,"25,221",621,61.0,
Best Friend (feat. Doja Cat),Saweetie,Best Friend (feat. Doja Cat),1/7/2021,USWB12004547,571532926.0,66.0,"95,775",622,61.0,
GATï¿½ï¿½,KAROL G,GATï¿½ï¿½,8/26/2022,USUM72216070,427247328.0,66.0,"42,444",623,61.0,
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2/23/2017,USWB11700237,1116304877.0,66.0,"120,975",624,61.0,
Te Botï¿½ï¿½ - R,Nio Garcia,Flow La Movie Remixes,1/1/2017,QM4TW1811888,1176693861.0,69.0,"132,271",625,60.9,
SICKO MODE,Travis Scott,ASTROWORLD,8/3/2018,USSM11806660,2134271997.0,77.0,"330,314",626,60.9,
act ii: date @ 8 (remix),4batz,act ii: date @ 8 (feat. Drake) [remix],3/8/2024,USLD91756695,89787741.0,,"16,536",627,60.8,
Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,Barbie World (with Aqua) [From Barbie The Album],6/23/2023,USAT22306213,470659154.0,71.0,"53,386",630,60.6,
The Kind of Love We Make,Luke Combs,The Kind of Love We Make,6/17/2022,US6XF2200076,470340261.0,75.0,"68,177",628,60.6,
Europapa,Joost,Europapa,2/29/2024,NL4TG2400001,111170278.0,81.0,"12,493",629,60.6,
OMG,NewJeans,NewJeans 'OMG',1/2/2023,USA2P2251723,675591495.0,75.0,"53,019",632,60.5,
Baila,Karl Wine,Baila,7/31/2020,TCAFA2047032,2947162.0,,"2,732",631,60.5,
PUNTO 40,Rauw Alejandro,PUNTO 40 - Single,9/22/2022,USSD12200965,396549329.0,67.0,"56,179",635,60.4,
In The Name Of Love,Martin Garrix,Pacha 2017,10/23/2015,NLM5S1600003,1452194416.0,75.0,"164,935",637,60.4,
Shorty Party,Cartel De Santa,Shorty Party,3/4/2023,MX3602300010,323657766.0,69.0,"28,785",633,60.4,
Drama,aespa,Drama - The 4th Mini Album,11/10/2023,KRA302300350,198043685.0,78.0,"11,991",634,60.4,
Head & Heart (feat. MNEK),Joel Corry,Head & Heart (feat. MNEK),7/3/2020,UK4ZF2000305,1196521179.0,74.0,"190,615",636,60.4,
Callaita,Bad Bunny,Callaita,5/31/2019,QM6N21919851,1448173030.0,70.0,"156,477",638,60.0,
How Do I Say Goodbye,Dean Lewis,How Do I Say Goodbye,8/5/2022,AUUM72200172,459712644.0,69.0,"86,82",639,59.9,
One Step Closer,Linkin Park,Papercuts,4/12/2024,USWB11201316,687919107.0,,91,640,59.8,
ULTRA SOLO,Polimï¿½ï¿½ Westc,ULTRA SOLO,2/14/2022,CLPP22200004,360068693.0,64.0,"58,995",642,59.7,
Hundred Miles (Sped Up Version),Yall,Hundred Miles (Sped Up Version) [feat. Gabriela Richardson] - Single,2/3/2023,ES7002364101,16264949.0,48.0,"4,532",641,59.7,
SNAP,Rosa Linn,SNAP,3/19/2022,USSM12207342,1039482815.0,79.0,"99,333",643,59.7,
Lambiyan Raataan,Jubin Nautiyal,Lambiyan Raataan - Single,8/27/2021,QZ93L2125871,53437.0,,4,644,59.6,
Gangnam Style (ï¿½ï¿½ï¿½ï¿½ï¿½ï,PSY,Hits For Kids 29,1/1/2012,USUM71210283,477162323.0,67.0,"103,211",647,59.6,
Criminal,NATTI NATASHA,Criminal,8/18/2017,USB271700112,889098343.0,69.0,"84,086",648,59.6,
Chantaje,Shakira,Chantaje,1/1/2016,USSD11600299,1006124005.0,72.0,"96,248",646,59.6,
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),8/14/2020,USUG12001748,962634706.0,69.0,"222,576",645,59.6,
Psycho,Post Malone,Psycho (feat. Ty Dolla $ign),2/23/2018,USUM71710836,1517935273.0,70.0,"183,827",650,59.5,
Casanova,Soolking,Casanova,7/6/2023,FRPZ92324651,191488217.0,72.0,"46,669",649,59.5,
Holanda,Jhayco,Holanda,7/28/2023,USUM72310520,320174752.0,73.0,"51,073",651,59.5,
nï¿½ï¿½e,21 Savage,nï¿½ï¿½e,1/10/2024,USSM12309168,150203467.0,,"33,551",652,59.4,
Faded,Alan Walker,Faded,12/4/2015,NOG841549010,1943842010.0,75.0,"221,874",653,59.4,
Cough,Kizz Daniel,Cough,10/13/2022,USUYG1448153,86103527.0,62.0,"24,888",655,59.3,
Afraid To Feel,LF SYSTEM,Afraid To Feel,5/2/2022,GBAHT2200492,355203657.0,74.0,"146,218",656,59.3,
Wow.,Post Malone,Wow.,12/24/2018,USUM71822626,1680612367.0,74.0,"201,84",657,59.3,
Radioactive,Imagine Dragons,Hear Me EP,1/1/2012,USUM71201074,1836362703.0,75.0,"236,427",654,59.3,
RITMO (Bad Boys For Life),Black Eyed Peas,RITMO (Bad Boys For Life),10/12/2019,USSM11912430,961358721.0,65.0,"155,959",659,59.2,
hot girl bummer,blackbear,hot girl bummer,8/23/2019,USUG11902959,1265080733.0,70.0,"198,773",658,59.2,
Dancing With A Stranger (with Normani),Sam Smith,Dancing With A Stranger (with Normani),1/11/2019,GBUM71807386,1349115675.0,71.0,"113,525",663,59.1,
Heartbreak Anniversary,Giveon,HEARTBREAK ANNIVERSARY,2/21/2020,USSM12000998,1157206056.0,75.0,"189,404",665,59.1,
Toxic,BoyWithUke,Faded,9/10/2021,TCAFS2101442,690010618.0,69.0,"145,08",662,59.1,
Tennessee Whiskey,Chris Stapleton,Tennessee Whiskey,4/28/2015,USUM71418088,954073526.0,77.0,"162,233",661,59.1,
Up,Cardi B,Up (Instrumental),2/4/2021,USAT22100061,646916214.0,65.0,"97,97",664,59.1,
UN PREVIEW,Bad Bunny,UN PREVIEW,9/25/2023,QMFME2329236,253455087.0,,"45,343",660,59.1,
Prada Dem (feat. Offset),Gunna,Prada Dem (feat. Offset),3/15/2024,USAT22401724,57374288.0,,"10,723",669,58.9,
Don't Be Shy,Tiï¿½ï¿,Don't Be Shy - Single,8/12/2021,CYA112000981,686371118.0,69.0,"95,938",670,58.9,
Sabor Fresa,Fuerza Regida,Sabor Fresa,6/22/2023,QZ9QQ2300457,502536183.0,77.0,"37,578",668,58.9,
MON LOVE OHO,Liamsi,MON LOVE OHO,4/7/2023,QZMEV2363867,24215252.0,48.0,"12,008",666,58.9,
Surround Sound (feat. 21 Savage & Baby Tate),JID,Surround Sound (feat. 21 Savage & Baby Tate),1/14/2022,USUM72123571,548724288.0,79.0,"170,892",667,58.9,
Feather,Sabrina Carpenter,emails i canï¿½ï¿½ï¿½t send fwd,3/17/2023,USUM72301876,488979989.0,84.0,"32,825",673,58.8,
Super Gremlin,Kodak Black,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,10/30/2021,USAT22107295,416955991.0,63.0,"123,862",672,58.8,
Natural,Imagine Dragons,Natural,7/17/2018,USUM71806694,1228556153.0,75.0,"154,255",674,58.8,
La Triple M,Mawell,La Triple M,6/2/2023,QM6P42364524,44557662.0,59.0,"9,405",671,58.8,
OUT WEST (feat. Young Thug),JACKBOYS,JACKBOYS,12/27/2019,USSM11914988,709850383.0,70.0,"165,912",675,58.8,
"Fear Song (From ""Devara Part 1"") [Tamil]",Anirudh Ravichander,"Fear Song (From ""Devara Part 1"") [Tamil]",5/19/2024,INS182401563,945093.0,,63,677,58.7,
